ticket_id,symbol,direction,open_time,open_price,stop_loss,take_profit,lot_size,reason,market_context,close_time,close_price,pnl,status
169369391,NZDCAD,buy,2025-08-01 09:20:50.215549,0.8151,0.81248,0.84276,0.01,ranging,"{
  ""alignment"": {
    ""16408"": {
      ""structure"": {
        ""trend"": ""bearish"",
        ""consolidation"": false,
        ""swing_points"": {
          ""highs"": [
            {
              ""time"": ""2023-12-07T00:00:00"",
              ""open"": 0.8338,
              ""high"": 0.84155,
              ""low"": 0.83156,
              ""close"": 0.83885,
              ""tick_volume"": 151639,
              ""spread"": 12,
              ""real_volume"": 0
            },
            {
              ""time"": ""2024-02-21T00:00:00"",
              ""open"": 0.83275,
              ""high"": 0.83736,
              ""low"": 0.83035,
              ""close"": 0.8343,
              ""tick_volume"": 49181,
              ""spread"": 10,
              ""real_volume"": 0
            },
            {
              ""time"": ""2024-06-12T00:00:00"",
              ""open"": 0.84422,
              ""high"": 0.85181,
              ""low"": 0.84312,
              ""close"": 0.84868,
              ""tick_volume"": 120389,
              ""spread"": 13,
              ""real_volume"": 0
            },
            {
              ""time"": ""2024-09-30T00:00:00"",
              ""open"": 0.85549,
              ""high"": 0.86126,
              ""low"": 0.85531,
              ""close"": 0.85865,
              ""tick_volume"": 125696,
              ""spread"": 13,
              ""real_volume"": 0
            },
            {
              ""time"": ""2025-02-03T00:00:00"",
              ""open"": 0.8225,
              ""high"": 0.82352,
              ""low"": 0.80936,
              ""close"": 0.81182,
              ""tick_volume"": 130039,
              ""spread"": 15,
              ""real_volume"": 0
            },
            {
              ""time"": ""2025-03-20T00:00:00"",
              ""open"": 0.83238,
              ""high"": 0.83403,
              ""low"": 0.82258,
              ""close"": 0.82446,
              ""tick_volume"": 70013,
              ""spread"": 5,
              ""real_volume"": 0
            },
            {
              ""time"": ""2025-04-24T00:00:00"",
              ""open"": 0.82436,
              ""high"": 0.83194,
              ""low"": 0.82413,
              ""close"": 0.83064,
              ""tick_volume"": 71154,
              ""spread"": 4,
              ""real_volume"": 0
            },
            {
              ""time"": ""2025-07-02T00:00:00"",
              ""open"": 0.83075,
              ""high"": 0.83297,
              ""low"": 0.82554,
              ""close"": 0.82735,
              ""tick_volume"": 62013,
              ""spread"": 4,
              ""real_volume"": 0
            }
          ],
          ""lows"": [
            {
              ""time"": ""2024-02-05T00:00:00"",
              ""open"": 0.81606,
              ""high"": 0.81989,
              ""low"": 0.81505,
              ""close"": 0.81969,
              ""tick_volume"": 60635,
              ""spread"": 10,
              ""real_volume"": 0
            },
            {
              ""time"": ""2024-04-02T00:00:00"",
              ""open"": 0.80745,
              ""high"": 0.81027,
              ""low"": 0.80597,
              ""close"": 0.8097,
              ""tick_volume"": 33433,
              ""spread"": 11,
              ""real_volume"": 0
            },
            {
              ""time"": ""2024-07-29T00:00:00"",
              ""open"": 0.81375,
              ""high"": 0.81533,
              ""low"": 0.8117,
              ""close"": 0.8138,
              ""tick_volume"": 57864,
              ""spread"": 14,
              ""real_volume"": 0
            },
            {
              ""time"": ""2025-04-09T00:00:00"",
              ""open"": 0.79753,
              ""high"": 0.80232,
              ""low"": 0.78285,
              ""close"": 0.79426,
              ""tick_volume"": 171798,
              ""spread"": 4,
              ""real_volume"": 0
            },
            {
              ""time"": ""2025-07-17T00:00:00"",
              ""open"": 0.81298,
              ""high"": 0.81554,
              ""low"": 0.81096,
              ""close"": 0.81548,
              ""tick_volume"": 55227,
              ""spread"": 4,
              ""real_volume"": 0
            }
          ]
        },
        ""key_levels"": [
          {
            ""price"": 0.8126666666666668,
            ""type"": ""support""
          },
          {
            ""price"": 0.81280262,
            ""type"": ""support""
          },
          {
            ""price"": 0.8136751466666667,
            ""type"": ""support""
          },
          {
            ""price"": 0.8142981866666668,
            ""type"": ""support""
          },
          {
            ""price"": 0.8153066666666667,
            ""type"": ""resistance""
          },
          {
            ""price"": 0.8163151466666667,
            ""type"": ""resistance""
          },
          {
            ""price"": 0.8169381866666667,
            ""type"": ""resistance""
          },
          {
            ""price"": 0.8179466666666667,
            ""type"": ""resistance""
          },
          {
            ""price"": 0.822055,
            ""type"": ""resistance""
          },
          {
            ""price"": 0.83130738,
            ""type"": ""resistance""
          },
          {
            ""price"": 0.84275524,
            ""type"": ""resistance""
          }
        ],
        ""timeframe"": 16408
      }
    },
    ""16385"": {
      ""structure"": {
        ""trend"": ""bearish"",
        ""consolidation"": false,
        ""swing_points"": {
          ""highs"": [
            {
              ""time"": ""2025-07-08T07:00:00"",
              ""open"": 0.82084,
              ""high"": 0.82286,
              ""low"": 0.82066,
              ""close"": 0.82136,
              ""tick_volume"": 3065,
              ""spread"": 6,
              ""real_volume"": 0
            },
            {
              ""time"": ""2025-07-11T05:00:00"",
              ""open"": 0.82556,
              ""high"": 0.82586,
              ""low"": 0.82446,
              ""close"": 0.82452,
              ""tick_volume"": 3040,
              ""spread"": 5,
              ""real_volume"": 0
            },
            {
              ""time"": ""2025-07-15T15:00:00"",
              ""open"": 0.82018,
              ""high"": 0.82152,
              ""low"": 0.81958,
              ""close"": 0.8203,
              ""tick_volume"": 4296,
              ""spread"": 5,
              ""real_volume"": 0
            },
            {
              ""time"": ""2025-07-18T17:00:00"",
              ""open"": 0.82017,
              ""high"": 0.82079,
              ""low"": 0.81955,
              ""close"": 0.81958,
              ""tick_volume"": 3953,
              ""spread"": 5,
              ""real_volume"": 0
            },
            {
              ""time"": ""2025-07-21T17:00:00"",
              ""open"": 0.818,
              ""high"": 0.81883,
              ""low"": 0.81799,
              ""close"": 0.81832,
              ""tick_volume"": 3585,
              ""spread"": 5,
              ""real_volume"": 0
            },
            {
              ""time"": ""2025-07-24T17:00:00"",
              ""open"": 0.82337,
              ""high"": 0.8243,
              ""low"": 0.82296,
              ""close"": 0.82306,
              ""tick_volume"": 3920,
              ""spread"": 4,
              ""real_volume"": 0
            },
            {
              ""time"": ""2025-07-28T04:00:00"",
              ""open"": 0.82523,
              ""high"": 0.82579,
              ""low"": 0.82375,
              ""close"": 0.82389,
              ""tick_volume"": 3168,
              ""spread"": 5,
              ""real_volume"": 0
            },
            {
              ""time"": ""2025-07-30T06:00:00"",
              ""open"": 0.82128,
              ""high"": 0.8217,
              ""low"": 0.82083,
              ""close"": 0.82105,
              ""tick_volume"": 1858,
              ""spread"": 5,
              ""real_volume"": 0
            }
          ],
          ""lows"": [
            {
              ""time"": ""2025-07-09T06:00:00"",
              ""open"": 0.81914,
              ""high"": 0.81928,
              ""low"": 0.81786,
              ""close"": 0.81918,
              ""tick_volume"": 2528,
              ""spread"": 6,
              ""real_volume"": 0
            },
            {
              ""time"": ""2025-07-17T06:00:00"",
              ""open"": 0.81142,
              ""high"": 0.81256,
              ""low"": 0.81096,
              ""close"": 0.81247,
              ""tick_volume"": 2217,
              ""spread"": 6,
              ""real_volume"": 0
            },
            {
              ""time"": ""2025-07-22T10:00:00"",
              ""open"": 0.81402,
              ""high"": 0.81428,
              ""low"": 0.81325,
              ""close"": 0.8134,
              ""tick_volume"": 2630,
              ""spread"": 6,
              ""real_volume"": 0
            },
            {
              ""time"": ""2025-07-25T12:00:00"",
              ""open"": 0.8219,
              ""high"": 0.82201,
              ""low"": 0.8211,
              ""close"": 0.82193,
              ""tick_volume"": 2121,
              ""spread"": 5,
              ""real_volume"": 0
            },
            {
              ""time"": ""2025-07-29T10:00:00"",
              ""open"": 0.81829,
              ""high"": 0.8186,
              ""low"": 0.81786,
              ""close"": 0.81823,
              ""tick_volume"": 3560,
              ""spread"": 5,
              ""real_volume"": 0
            },
            {
              ""time"": ""2025-07-30T22:00:00"",
              ""open"": 0.81395,
              ""high"": 0.81539,
              ""low"": 0.81358,
              ""close"": 0.81513,
              ""tick_volume"": 4851,
              ""spread"": 6,
              ""real_volume"": 0
            }
          ]
        },
        ""key_levels"": [
          {
            ""price"": 0.8137866666666668,
            ""type"": ""support""
          },
          {
            ""price"": 0.8141533866666667,
            ""type"": ""support""
          },
          {
            ""price"": 0.8143799466666668,
            ""type"": ""support""
          },
          {
            ""price"": 0.8147466666666667,
            ""type"": ""support""
          },
          {
            ""price"": 0.8151133866666667,
            ""type"": ""resistance""
          },
          {
            ""price"": 0.8153399466666668,
            ""type"": ""resistance""
          },
          {
            ""price"": 0.8157066666666667,
            ""type"": ""resistance""
          },
          {
            ""price"": 0.8166518,
            ""type"": ""resistance""
          },
          {
            ""price"": 0.8184100000000001,
            ""type"": ""resistance""
          },
          {
            ""price"": 0.8201682,
            ""type"": ""resistance""
          },
          {
            ""price"": 0.8223436000000001,
            ""type"": ""resistance""
          }
        ],
        ""timeframe"": 16385
      },
      ""trend"": ""bearish""
    },
    ""15"": {
      ""momentum"": {
        ""rsi_trend"": ""bullish"",
        ""trend_strength"": ""weak""
      }
    }
  },
  ""indicators"": {
    ""15"": {
      ""open"": 0.81478,
      ""high"": 0.81509,
      ""low"": 0.81471,
      ""close"": 0.81502,
      ""tick_volume"": 266.0,
      ""spread"": 6.0,
      ""real_volume"": 0.0,
      ""ema_short"": 0.8147891088901343,
      ""ema_long"": 0.8153441889059888,
      ""ema_short_slope"": 5.1309135525756666e-05,
      ""ema_long_slope"": -1.32322002444063e-05,
      ""rsi"": 50.33852120494514,
      ""adx"": 22.508464947759812,
      ""plus_di"": 13.50923527039323,
      ""minus_di"": 21.375032655325985,
      ""atr"": 0.0004308043270083506,
      ""ichimoku_tenkan_sen"": 0.8146100000000001,
      ""ichimoku_kijun_sen"": 0.81504,
      ""ichimoku_senkou_span_a"": 0.81601,
      ""ichimoku_senkou_span_b"": 0.816265,
      ""ichimoku_chikou_span"": NaN,
      ""macd"": -0.0001878397111783059,
      ""macd_signal"": -0.00024271522440399754,
      ""macd_hist"": 5.4875513225691646e-05,
      ""chandelier_exit"": 0.813887587018975,
      ""momentum"": 0.00020999999999993246,
      ""cdl_marubozu"": 0.0,
      ""cdl_engulfing"": 0.0,
      ""cdl_doji"": 0.0,
      ""cdl_spinning_top"": 0.0,
      ""cdl_shooting_star"": 0.0,
      ""cdl_hammer"": 0.0
    },
    ""16385"": {
      ""open"": 0.8147,
      ""high"": 0.81509,
      ""low"": 0.81413,
      ""close"": 0.81502,
      ""tick_volume"": 1045.0,
      ""spread"": 5.0,
      ""real_volume"": 0.0,
      ""ema_short"": 0.8151333024528702,
      ""ema_long"": 0.8168378494387442,
      ""ema_short_slope"": -2.5178322860086588e-05,
      ""ema_long_slope"": -7.41979362752776e-05,
      ""rsi"": 41.466494531916105,
      ""adx"": 22.784828853837222,
      ""plus_di"": 13.208246723628541,
      ""minus_di"": 24.97151031636731,
      ""atr"": 0.0009450874700398644,
      ""ichimoku_tenkan_sen"": 0.81545,
      ""ichimoku_kijun_sen"": 0.8170649999999999,
      ""ichimoku_senkou_span_a"": 0.817045,
      ""ichimoku_senkou_span_b"": 0.8176399999999999,
      ""ichimoku_chikou_span"": NaN,
      ""macd"": -0.0006712275855821348,
      ""macd_signal"": -0.0006358729408803841,
      ""macd_hist"": -3.535464470175067e-05,
      ""chandelier_exit"": 0.8139347375898804,
      ""momentum"": -0.0007099999999999884,
      ""cdl_marubozu"": 0.0,
      ""cdl_engulfing"": 80.0,
      ""cdl_doji"": 0.0,
      ""cdl_spinning_top"": 0.0,
      ""cdl_shooting_star"": 0.0,
      ""cdl_hammer"": 0.0
    },
    ""16408"": {
      ""open"": 0.81541,
      ""high"": 0.81677,
      ""low"": 0.81413,
      ""close"": 0.81502,
      ""tick_volume"": 23237.0,
      ""spread"": 4.0,
      ""real_volume"": 0.0,
      ""ema_short"": 0.8178893841642282,
      ""ema_long"": 0.8206858816334117,
      ""ema_short_slope"": -0.0006376409253840976,
      ""ema_long_slope"": -0.00023126047483312817,
      ""rsi"": 41.95994704683452,
      ""adx"": 15.988422719881575,
      ""plus_di"": 14.429068406847545,
      ""minus_di"": 21.768488333628984,
      ""atr"": 0.0054118610235944975,
      ""ichimoku_tenkan_sen"": 0.81952,
      ""ichimoku_kijun_sen"": 0.8219650000000001,
      ""ichimoku_senkou_span_a"": 0.82127,
      ""ichimoku_senkou_span_b"": 0.82168,
      ""ichimoku_chikou_span"": NaN,
      ""macd"": -0.0015249193206881007,
      ""macd_signal"": -0.001243488311752942,
      ""macd_hist"": -0.00028143100893515856,
      ""chandelier_exit"": 0.8271955830707836,
      ""momentum"": -0.0030600000000000627,
      ""cdl_marubozu"": 0.0,
      ""cdl_engulfing"": 0.0,
      ""cdl_doji"": 100.0,
      ""cdl_spinning_top"": -100.0,
      ""cdl_shooting_star"": 0.0,
      ""cdl_hammer"": 0.0
    }
  }
}",2025-08-01 15:29:57,0.81248,-1.8900000000000001,closed_sl
169394937,GBPNZD,sell,2025-08-01 11:40:50.179741,2.24554,2.25828,2.13162,0.01,ranging,"{
  ""alignment"": {
    ""16408"": {
      ""structure"": {
        ""trend"": ""bullish"",
        ""consolidation"": false,
        ""swing_points"": {
          ""highs"": [
            {
              ""time"": ""2023-11-27T00:00:00"",
              ""open"": 2.07035,
              ""high"": 2.07911,
              ""low"": 2.06814,
              ""close"": 2.07025,
              ""tick_volume"": 104416,
              ""spread"": 16,
              ""real_volume"": 0
            },
            {
              ""time"": ""2024-01-23T00:00:00"",
              ""open"": 2.0893,
              ""high"": 2.09432,
              ""low"": 2.07701,
              ""close"": 2.07815,
              ""tick_volume"": 99312,
              ""spread"": 12,
              ""real_volume"": 0
            },
            {
              ""time"": ""2024-05-01T00:00:00"",
              ""open"": 2.11927,
              ""high"": 2.1259,
              ""low"": 2.11077,
              ""close"": 2.11262,
              ""tick_volume"": 130467,
              ""spread"": 20,
              ""real_volume"": 0
            },
            {
              ""time"": ""2024-07-29T00:00:00"",
              ""open"": 2.18095,
              ""high"": 2.19084,
              ""low"": 2.17855,
              ""close"": 2.18866,
              ""tick_volume"": 107664,
              ""spread"": 11,
              ""real_volume"": 0
            },
            {
              ""time"": ""2024-10-30T00:00:00"",
              ""open"": 2.17841,
              ""high"": 2.18422,
              ""low"": 2.16518,
              ""close"": 2.1699,
              ""tick_volume"": 121790,
              ""spread"": 10,
              ""real_volume"": 0
            },
            {
              ""time"": ""2024-12-19T00:00:00"",
              ""open"": 2.23396,
              ""high"": 2.2425100000000002,
              ""low"": 2.21608,
              ""close"": 2.22008,
              ""tick_volume"": 135312,
              ""spread"": 11,
              ""real_volume"": 0
            },
            {
              ""time"": ""2025-04-07T00:00:00"",
              ""open"": 2.30024,
              ""high"": 2.33563,
              ""low"": 2.27433,
              ""close"": 2.29479,
              ""tick_volume"": 248862,
              ""spread"": 12,
              ""real_volume"": 0
            },
            {
              ""time"": ""2025-05-28T00:00:00"",
              ""open"": 2.26182,
              ""high"": 2.27738,
              ""low"": 2.2554,
              ""close"": 2.25707,
              ""tick_volume"": 106736,
              ""spread"": 11,
              ""real_volume"": 0
            }
          ],
          ""lows"": [
            {
              ""time"": ""2024-06-06T00:00:00"",
              ""open"": 2.06329,
              ""high"": 2.06868,
              ""low"": 2.06066,
              ""close"": 2.06272,
              ""tick_volume"": 106994,
              ""spread"": 19,
              ""real_volume"": 0
            },
            {
              ""time"": ""2024-08-29T00:00:00"",
              ""open"": 2.11205,
              ""high"": 2.11291,
              ""low"": 2.09809,
              ""close"": 2.10412,
              ""tick_volume"": 93856,
              ""spread"": 9,
              ""real_volume"": 0
            },
            {
              ""time"": ""2024-11-27T00:00:00"",
              ""open"": 2.15308,
              ""high"": 2.15717,
              ""low"": 2.13624,
              ""close"": 2.15076,
              ""tick_volume"": 126716,
              ""spread"": 10,
              ""real_volume"": 0
            },
            {
              ""time"": ""2025-01-24T00:00:00"",
              ""open"": 2.17382,
              ""high"": 2.18615,
              ""low"": 2.16798,
              ""close"": 2.18553,
              ""tick_volume"": 103454,
              ""spread"": 11,
              ""real_volume"": 0
            },
            {
              ""time"": ""2025-04-23T00:00:00"",
              ""open"": 2.23179,
              ""high"": 2.23362,
              ""low"": 2.21392,
              ""close"": 2.22879,
              ""tick_volume"": 147479,
              ""spread"": 11,
              ""real_volume"": 0
            },
            {
              ""time"": ""2025-06-19T00:00:00"",
              ""open"": 2.22234,
              ""high"": 2.25259,
              ""low"": 2.22234,
              ""close"": 2.24683,
              ""tick_volume"": 102163,
              ""spread"": 11,
              ""real_volume"": 0
            },
            {
              ""time"": ""2025-07-28T00:00:00"",
              ""open"": 2.23122,
              ""high"": 2.24663,
              ""low"": 2.2295,
              ""close"": 2.23652,
              ""tick_volume"": 112268,
              ""spread"": 11,
              ""real_volume"": 0
            }
          ]
        },
        ""key_levels"": [
          {
            ""price"": 2.1316158400000003,
            ""type"": ""support""
          },
          {
            ""price"": 2.17057,
            ""type"": ""support""
          },
          {
            ""price"": 2.20952416,
            ""type"": ""support""
          },
          {
            ""price"": 2.2312266666666667,
            ""type"": ""support""
          },
          {
            ""price"": 2.236104806666667,
            ""type"": ""support""
          },
          {
            ""price"": 2.2391185266666667,
            ""type"": ""support""
          },
          {
            ""price"": 2.243996666666667,
            ""type"": ""support""
          },
          {
            ""price"": 2.248874806666667,
            ""type"": ""resistance""
          },
          {
            ""price"": 2.251888526666667,
            ""type"": ""resistance""
          },
          {
            ""price"": 2.256766666666667,
            ""type"": ""resistance""
          },
          {
            ""price"": 2.25772168,
            ""type"": ""resistance""
          }
        ],
        ""timeframe"": 16408
      }
    },
    ""16385"": {
      ""structure"": {
        ""trend"": ""bullish"",
        ""consolidation"": true,
        ""swing_points"": {
          ""highs"": [
            {
              ""time"": ""2025-07-09T15:00:00"",
              ""open"": 2.26961,
              ""high"": 2.27236,
              ""low"": 2.26839,
              ""close"": 2.26964,
              ""tick_volume"": 5618,
              ""spread"": 11,
              ""real_volume"": 0
            },
            {
              ""time"": ""2025-07-17T15:00:00"",
              ""open"": 2.26642,
              ""high"": 2.26673,
              ""low"": 2.2641299999999998,
              ""close"": 2.26467,
              ""tick_volume"": 6346,
              ""spread"": 11,
              ""real_volume"": 0
            },
            {
              ""time"": ""2025-07-22T12:00:00"",
              ""open"": 2.26887,
              ""high"": 2.26926,
              ""low"": 2.2665100000000002,
              ""close"": 2.26699,
              ""tick_volume"": 4099,
              ""spread"": 11,
              ""real_volume"": 0
            },
            {
              ""time"": ""2025-07-28T11:00:00"",
              ""open"": 2.24468,
              ""high"": 2.24663,
              ""low"": 2.24435,
              ""close"": 2.2458,
              ""tick_volume"": 6159,
              ""spread"": 11,
              ""real_volume"": 0
            },
            {
              ""time"": ""2025-07-30T15:00:00"",
              ""open"": 2.24901,
              ""high"": 2.25026,
              ""low"": 2.24496,
              ""close"": 2.24561,
              ""tick_volume"": 8160,
              ""spread"": 11,
              ""real_volume"": 0
            },
            {
              ""time"": ""2025-08-01T10:00:00"",
              ""open"": 2.24779,
              ""high"": 2.2496,
              ""low"": 2.2466,
              ""close"": 2.24843,
              ""tick_volume"": 5401,
              ""spread"": 11,
              ""real_volume"": 0
            }
          ],
          ""lows"": [
            {
              ""time"": ""2025-07-08T14:00:00"",
              ""open"": 2.25816,
              ""high"": 2.25822,
              ""low"": 2.2560700000000002,
              ""close"": 2.25763,
              ""tick_volume"": 4507,
              ""spread"": 11,
              ""real_volume"": 0
            },
            {
              ""time"": ""2025-07-14T00:00:00"",
              ""open"": 2.2461,
              ""high"": 2.24783,
              ""low"": 2.24193,
              ""close"": 2.24771,
              ""tick_volume"": 1003,
              ""spread"": 405,
              ""real_volume"": 0
            },
            {
              ""time"": ""2025-07-15T15:00:00"",
              ""open"": 2.24335,
              ""high"": 2.24446,
              ""low"": 2.23878,
              ""close"": 2.2415599999999998,
              ""tick_volume"": 6824,
              ""spread"": 11,
              ""real_volume"": 0
            },
            {
              ""time"": ""2025-07-21T00:00:00"",
              ""open"": 2.24572,
              ""high"": 2.2499000000000002,
              ""low"": 2.24413,
              ""close"": 2.24688,
              ""tick_volume"": 2037,
              ""spread"": 451,
              ""real_volume"": 0
            },
            {
              ""time"": ""2025-07-23T14:00:00"",
              ""open"": 2.2404,
              ""high"": 2.24112,
              ""low"": 2.2392,
              ""close"": 2.2402,
              ""tick_volume"": 4908,
              ""spread"": 11,
              ""real_volume"": 0
            },
            {
              ""time"": ""2025-07-25T00:00:00"",
              ""open"": 2.23964,
              ""high"": 2.24051,
              ""low"": 2.23104,
              ""close"": 2.23814,
              ""tick_volume"": 1326,
              ""spread"": 154,
              ""real_volume"": 0
            },
            {
              ""time"": ""2025-07-28T04:00:00"",
              ""open"": 2.23048,
              ""high"": 2.23464,
              ""low"": 2.2295,
              ""close"": 2.2341699999999998,
              ""tick_volume"": 5154,
              ""spread"": 11,
              ""real_volume"": 0
            },
            {
              ""time"": ""2025-07-31T09:00:00"",
              ""open"": 2.23708,
              ""high"": 2.23913,
              ""low"": 2.23626,
              ""close"": 2.23871,
              ""tick_volume"": 5893,
              ""spread"": 11,
              ""real_volume"": 0
            }
          ]
        },
        ""key_levels"": [
          {
            ""price"": 2.2429466666666666,
            ""type"": ""support""
          },
          {
            ""price"": 2.244302766666667,
            ""type"": ""support""
          },
          {
            ""price"": 2.2451405666666666,
            ""type"": ""support""
          },
          {
            ""price"": 2.24587252,
            ""type"": ""resistance""
          },
          {
            ""price"": 2.246496666666667,
            ""type"": ""resistance""
          },
          {
            ""price"": 2.247852766666667,
            ""type"": ""resistance""
          },
          {
            ""price"": 2.248690566666667,
            ""type"": ""resistance""
          },
          {
            ""price"": 2.250046666666667,
            ""type"": ""resistance""
          },
          {
            ""price"": 2.25093,
            ""type"": ""resistance""
          },
          {
            ""price"": 2.25598748,
            ""type"": ""resistance""
          },
          {
            ""price"": 2.26224504,
            ""type"": ""resistance""
          }
        ],
        ""timeframe"": 16385
      },
      ""trend"": ""bullish""
    },
    ""15"": {
      ""momentum"": {
        ""rsi_trend"": ""bearish"",
        ""trend_strength"": ""weak""
      }
    }
  },
  ""indicators"": {
    ""15"": {
      ""open"": 2.24661,
      ""high"": 2.24675,
      ""low"": 2.24519,
      ""close"": 2.2455600000000002,
      ""tick_volume"": 889.0,
      ""spread"": 11.0,
      ""real_volume"": 0.0,
      ""ema_short"": 2.2468609958372756,
      ""ema_long"": 2.2446686111191054,
      ""ema_short_slope"": -0.0002891101860611478,
      ""ema_long_slope"": 3.63832196281777e-05,
      ""rsi"": 49.037043723073374,
      ""adx"": 18.66656239409468,
      ""plus_di"": 16.55566780369426,
      ""minus_di"": 20.16262152757063,
      ""atr"": 0.0015084073168485114,
      ""ichimoku_tenkan_sen"": 2.247395,
      ""ichimoku_kijun_sen"": 2.246345,
      ""ichimoku_senkou_span_a"": 2.2422925,
      ""ichimoku_senkou_span_b"": 2.2412549999999998,
      ""ichimoku_chikou_span"": NaN,
      ""macd"": 0.0009388738096629545,
      ""macd_signal"": 0.0010758423267382363,
      ""macd_hist"": -0.0001369685170752818,
      ""chandelier_exit"": 2.2485252219505454,
      ""momentum"": 0.001040000000000152,
      ""cdl_marubozu"": 0.0,
      ""cdl_engulfing"": 0.0,
      ""cdl_doji"": 0.0,
      ""cdl_spinning_top"": 0.0,
      ""cdl_shooting_star"": 0.0,
      ""cdl_hammer"": 0.0
    },
    ""16385"": {
      ""open"": 2.24843,
      ""high"": 2.24874,
      ""low"": 2.24519,
      ""close"": 2.2455600000000002,
      ""tick_volume"": 3242.0,
      ""spread"": 11.0,
      ""real_volume"": 0.0,
      ""ema_short"": 2.245242926626788,
      ""ema_long"": 2.242849166362402,
      ""ema_short_slope"": 7.04607496024856e-05,
      ""ema_long_slope"": 0.00011064627092238766,
      ""rsi"": 55.40507942775763,
      ""adx"": 12.251720161524611,
      ""plus_di"": 24.319659697673483,
      ""minus_di"": 16.963719081826316,
      ""atr"": 0.0027998047243717127,
      ""ichimoku_tenkan_sen"": 2.2456300000000002,
      ""ichimoku_kijun_sen"": 2.243215,
      ""ichimoku_senkou_span_a"": 2.2421775000000004,
      ""ichimoku_senkou_span_b"": 2.242635,
      ""ichimoku_chikou_span"": NaN,
      ""macd"": 0.001246366740893734,
      ""macd_signal"": 0.0007667621620164103,
      ""macd_hist"": 0.0004796045788773237,
      ""chandelier_exit"": 2.245229414173115,
      ""momentum"": 0.003310000000000368,
      ""cdl_marubozu"": 0.0,
      ""cdl_engulfing"": -80.0,
      ""cdl_doji"": 0.0,
      ""cdl_spinning_top"": 0.0,
      ""cdl_shooting_star"": 0.0,
      ""cdl_hammer"": 0.0
    },
    ""16408"": {
      ""open"": 2.23849,
      ""high"": 2.2496,
      ""low"": 2.23683,
      ""close"": 2.2455600000000002,
      ""tick_volume"": 45787.0,
      ""spread"": 0.0,
      ""real_volume"": 0.0,
      ""ema_short"": 2.2446059874855795,
      ""ema_long"": 2.249050845644439,
      ""ema_short_slope"": 0.0002120027809824343,
      ""ema_long_slope"": -0.00014248349569134788,
      ""rsi"": 48.32747557005081,
      ""adx"": 9.230491464933744,
      ""plus_di"": 18.142316113911445,
      ""minus_di"": 17.468999390341512,
      ""atr"": 0.014054434756399257,
      ""ichimoku_tenkan_sen"": 2.24938,
      ""ichimoku_kijun_sen"": 2.25093,
      ""ichimoku_senkou_span_a"": 2.2490325,
      ""ichimoku_senkou_span_b"": 2.24565,
      ""ichimoku_chikou_span"": NaN,
      ""macd"": -0.002936125076097973,
      ""macd_signal"": -0.0021002418117503524,
      ""macd_hist"": -0.0008358832643476206,
      ""chandelier_exit"": 2.2270966957308023,
      ""momentum"": -0.0037999999999995815,
      ""cdl_marubozu"": 0.0,
      ""cdl_engulfing"": 100.0,
      ""cdl_doji"": 0.0,
      ""cdl_spinning_top"": 0.0,
      ""cdl_shooting_star"": 0.0,
      ""cdl_hammer"": 0.0
    }
  }
}",,,,open
